"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"Lower East Side Service Center, Inc.","23720","80 Maiden Ln","New York","New York","NY","10038","4811","Clinic III OTP","646","New York","46 E Broadway","New York","NY","10002","6844","Mr. Frederick Emmel","femmel@lesc.org","2123433580","","Opioid Treatment","Opioid Outpatient Treatment","2123433580","","Y","","","","","","","","",""
"Lower East Side Service Center, Inc.","23720","80 Maiden Ln","New York","New York","NY","10038","4811","Lower East Side Service Center, Inc OP","7294","New York","46 E Broadway","New York","NY","10002","6803","Ms. Carol Deng LMSW","cdeng@lesc.org","2123433565","","Outpatient Services","Outpatient Clinic","2123433520","","Y","","Y","","","","","","",""
"Lower East Side Service Center, Inc.","23720","80 Maiden Ln","New York","New York","NY","10038","4811","Lower East Side Service Cntr Inc M-IR1","52063","New York","7 Gouverneur Slip E","New York","NY","10002","","Ms. Margaret Walker-Hurst LCSW","mwalkerhurst@lesc.org","2125663513","","Opioid Treatment","Intensive Residential","","","Y","","","","Y","","","","",""
"Lower East Side Service Center, Inc.","23720","80 Maiden Ln","New York","New York","NY","10038","4811","Lower East Side Service Cntr Inc. M-IR","3096","New York","7 Gouverneur Slip E","New York","NY","10002","","Ms. Margaret Walker-Hurst LCSW","mwalkerhurst@lesc.org","2125663513","","Opioid Treatment","Intensive Residential","2125667590","","Y","","","","","","","","",""
"Lower East Side Service Center, Inc.","23720","80 Maiden Ln","New York","New York","NY","10038","4811","Lower East Side Service Ctr, Inc. OTP","644","New York","46 E Broadway","New York","NY","10002","","Mr. Orlando Bosch LCSW","obosch@lesc.org","2123433550","","Opioid Treatment","Opioid Outpatient Treatment","2123433544","","Y","","","","","","","","",""
"Lower East Side Service Center, Inc.","23720","80 Maiden Ln","New York","New York","NY","10038","4811","Lower East Side Srvce Center Inc.MTA-R","311","New York","7 Gouverneur Slip E","New York","NY","10002","","Ms. Margaret Walker-Hurst LCSW","mwalkerhurst@lesc.org","2125663513","","Opioid Treatment","MAOT-A-Residential","2125667590","","Y","","","","","","","","",""
"Metropolitan Center for Mental Health","16130","160 W 86th St","New York","New York","NY","10024","4018","Families/Individuals in Recovery OP","51729","New York","1090 St. Nicholas Ave","New York","NY","10032","","Ms. Adria Rodriguez MSW","arodriguez@metropolitancenter.com","2125434445","101","Outpatient Services","Outpatient Clinic","2125434445","","Y","","","","","","","","",""
"Metropolitan Hospital Center (HHC)","81210","1900 2nd avenue","New York","New York","NY","10029","7404","Metropolitan Hospital Center OTP","669","New York","1900 2nd Ave","New York","NY","10029","7406","Ms. Shirley A McBride","shirley.mcbride@nychhc.org","2124238263","8263","Opioid Treatment","Opioid Outpatient Treatment","2124238263","8263","Y","","","","","","","","",""
"MIH Experience, LTD.","48730","4580 Broadway","New York","New York","NY","10040","","MIH Experience, LTD. OP","52945","New York","4580 Broadway","New York","NY","10040","2105","Dr. Rodney Campos","rcampos@mihexperience.com","2129282020","","Outpatient Services","Outpatient Clinic","2129282020","","Y","","","","","","","","",""
"Mount Sinai Morningside","87090","1111 Amsterdam Ave","New York","New York","NY","10025","1716","Mount Sinai Morningside MMD","53141","New York","1000 10th Ave","New York","NY","10019","1147","Dr. Timothy Brennan","Timothy.Brennan@mountsinai.org","2125236491","","Crisis Services","Medical Managed Detoxification","2125236871","","Y","","","","","","","","",""
"Mount Sinai Morningside","87090","1111 Amsterdam Ave","New York","New York","NY","10025","1716","Mount Sinai Morningside OP","53143","New York","1000 10th Ave","New York","NY","10019","","Dr. Shilpa Taufique PhD","Shilpa.Taufique@mountsinai.org","2125233083","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","411 West 114th Street","New York","10025","New York"
"Mount Sinai Morningside","87090","1111 Amsterdam Ave","New York","New York","NY","10025","1716","Mount Sinai Morningside OP 1","53144","New York","1000 10th Ave","New York","NY","10019","","Dr. Timothy Brennan","Timothy.Brennan@mountsinai.org","2125236491","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Mount Sinai Morningside","87090","1111 Amsterdam Ave","New York","New York","NY","10025","1716","Mount Sinai Morningside OP R","53148","New York","1000 10th Ave","New York","NY","10019","","Dr. Timothy Brennan","Timothy.Brennan@mountsinai.org","2125236491","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Mount Sinai Morningside","87090","1111 Amsterdam Ave","New York","New York","NY","10025","1716","Mt.Sinai West IP","53145","New York","1000 10th Ave","New York","NY","10019","1147","Dr. Timothy Brennan","Timothy.Brennan@mountsinai.org","2125236491","","Inpatient Treatment Services","Inpatient Rehabilitation","2125236871","","Y","","","","","","","","",""
"Mount Sinai Morningside","87090","1111 Amsterdam Ave","New York","New York","NY","10025","1716","St. Luke's Roosevelt Hosp Hlfwy Hse CR","53146","New York","306 W 102nd St","New York","NY","10025","4931","Mr. Ray Dooley CASAC","raymond.dooley@mountsinai.org","2126786329","","Residential Services","Community Residential","","","Y","","","","","","","","",""
"Neighborhood Coalition for Shelter Inc","19920","50 Broadway","New York","New York","NY","10004","","Chance for Change OP","52103","New York","921-923 Madison Ave","New York","NY","10021","","Mr. Robert Yancey LMSW","ryancey@ncsinc.org","9176770723","","Outpatient Services","Outpatient Clinic","9176770723","","Y","","","","","","","","",""
"New York Center for Living, Inc.","45160","226 E 52nd St","New York","New York","NY","10022","6209","New York Center for Living, Inc. OP","53007","New York","224-226 E 52nd St","New York","NY","10022","6209","Mr. Darwin Abreu LCSW","dabreu@centerforliving.org","2127128819","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey House, Inc. IR","957","New York","309-311 E 6th St","New York","NY","10003","8401","Paula Viatkevicius","PViatkevicius@odysseyhousenyc.org","2127801528","","Residential Services","Intensive Residential","2129875118","","","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey Manor IR 2","6817","New York","219-233  E 121st St","New York","NY","10035","3018","Ranji Lachmansingh","Rlachmansingh@odysseyhousenyc.org","2129875191","","Residential Services","Intensive Residential","2129875118","","","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey Ward's Island SRR","53465","New York","13 Hell Gate Cir","Ward's Island","NY","10035","","Ms. Gretchen Kleinsmith","GKleinsmith@odysseyhousenyc.org","2124266684","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","","","","","",""
"Odyssey House, Inc.","19400","120 Wall Street","New York","New York","NY","10005","","Odyssey Ward's Island SRR 1","53466","New York","13 Hell Gate Cir","Ward's Island","NY","10035","","Ms. Gretchen Kleinsmith","GKleinsmith@odysseyhousenyc.org","2124266684","","Residential Services","820 Stabil Rehab Reintegration","","","","","","","Y","","","","",""
"Palladia, Inc.","39050","463 7th Ave","New York","New York","NY","10018","","CTI Harlem OP","52857","New York","177-185 E 122nd St","New York","NY","10035","2906","Ms. Sarah G Gilliard LCSW","sgilliard@sus.org","2123607116","2701","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","Y","1366 Inwood Avenue","Bronx","10452","Bronx"
"Palladia, Inc.","39050","463 7th Ave","New York","New York","NY","10018","","Palladia, Inc. RR","53609","New York","1806-08 Third Ave","New York","NY","10029","6103","Mr. Ernest Bonner  Jr. CASAC","EBonner@sus.org","6466323920","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Parallax Center, Inc.","1898","145 E 32nd St","New York","New York","NY","10016","","Parallax Center, Inc. MSW-OP","8020","New York","145 E 32nd St","New York","NY","10016","6055","Mr. Jacques Nir LCSW","jnir@parallaxcenter.com","2127799207","","Crisis Services","Med Sup Withdrawal-Outpatient","2127799207","","","","","","","","","","",""
"Parallax Center, Inc.","1898","145 E 32nd St","New York","New York","NY","10016","","Parallax Center, Inc. OP","5513","New York","145 E 32nd St","New York","NY","10016","6055","Mr. Jacques Nir LCSW","jnir@parallaxcenter.com","2127799207","","Outpatient Services","Outpatient Clinic","2127799207","","Y","","","","","","","","",""
"Project Renewal, Inc.","50470","200 Varick St","New York","New York","NY","10014","4810","Project Renewal Chemical Dependence OP","50052","New York","8 E 3rd St","New York","NY","10003","","Ms. Sania Mirza MA","Sania.mirza@projectrenewal.org","2129139993","5153","Outpatient Services","Outpatient Clinic","2129139993","5153","Y","","","","","","","","",""
"Project Renewal, Inc.","50470","200 Varick St","New York","New York","NY","10014","4810","Project Renewal, Inc. SRh","53666","New York","8 E 3rd St","New York","NY","10003","","Gabriel Woodhouse CASAC","Gabriel.Woodhouse@projectrenewal.org","2129139993","5139","Residential Services","820 Stabil and Rehab","","","","","","","","","","","",""
"PROMESA, Inc.","166","311 east 175 street","Bronx","Bronx","Ny","10457","","Vida Nueva OP","53827","New York","127 E 105th St","New York","NY","10029","","Mr. Daniel Andujar CASAC","daniel.andujar@promesa.org","9343002552","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Realization Center, Inc.","27270","19 Union Square W","New York","New York","NY","10003","3304","Realization Center Clinic OP","7073","New York","19 Union Sq W","New York","NY","10003","3304","Ms. Wilda Molina CASAC","wm@realizationcenternyc.com","2126279600","","Outpatient Services","Outpatient Clinic","2126279600","","Y","","","","","","","","",""
"RevCore Recovery Ctr / Manhattan, LLC","49130","Broadway","New York","New York","NY","10013","4512","RevCore Recovery Ctr / Manhattan OP","52928","New York","394 Broadway","New York","NY","10013","6023","Kirk Chisholm CASAC","kchisholm@revcorerecovery.com","2129669537","","Outpatient Services","Outpatient Clinic","2129669537","","Y","","","","","","15 Second Avenue","Brooklyn","11215","Kings"
"RevCore Recovery Ctr / Manhattan, LLC","49130","Broadway","New York","New York","NY","10013","4512","RevCore Recovery Ctr / Manhattan OP","52928","New York","394 Broadway","New York","NY","10013","6023","Kirk Chisholm CASAC","kchisholm@revcorerecovery.com","2129669537","","Outpatient Services","Outpatient Clinic","2129669537","","Y","","","","","","1249 5th Avenue","New York","10029","New York"
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. IR 3","6974","New York","327 W 43rd St","New York","NY","10036","","Ms. Beverly Houston","beverly.houston@samaritanvillage.org","2123335445","","Residential Services","Intensive Residential","","","","","","","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village, Inc. IR 4","52723","New York","119 W 106th St","New York","NY","10025","","Sarah March LMSW","Sarah.March@samaritanvillage.org","2122225150","","Residential Services","Intensive Residential","","","","","","","Y","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Samaritan Daytop Village/Harlem OP 1","52724","New York","2090 Adam Clayton Powell, Jr Blvd","New York","NY","10027","","Sharon Johnson","sharon.johnson@samaritanvillage.org","2128644128","","Outpatient Services","Outpatient Clinic","","","Y","","","Mental Health","","","","","",""
"Samaritan Daytop Village, Inc.","16890","138-02 Queens Blvd","Jamaica","Queens","NY","11435","","Veritas House RRi","53761","New York","68 W 106th St","New York","NY","10025","3855","Elijah Collins CASAC","Elijah.Collins@samaritanvillage.org","6467907364","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Shiloh Psychological Consulting PLLC","50550","7th Ave","New York","New York","NY","10018","","Shiloh Psychological Consulting OP","53293","New York","566 7th Ave","New York","NY","10018","1802","Dr. Max T Lindeman PhD","MLindeman@shiloh566.com","2125677631","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"St. Mark's Place Institute for MH, Inc","15480","57 St. Mark's Place","New York","New York","NY","10003","","St. Mark's Place Institute for MH OP","51582","New York","57 Saint Marks Pl","New York","NY","10003","7902","Dr. Roman Pabis PhD","st.marks@unitas-nyc.org","2129823470","124","Outpatient Services","Outpatient Clinic","2129823470","124","Y","","","OMH Hosted","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","Kaleidoscope Clinic OTP","8","New York","119-121 W 124th St","New York","NY","10027","","Mrs. LeKeisha Dawkins CASAC","ldawkins@startny.org","9178470971","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","REACH Program OP","52059","New York","119-121 W 124th St","New York","NY","10027","","Mrs. LeKeisha Dawkins CASAC","ldawkins@startny.org","9178470971","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","START Txt & Recovery Cntrs OTP","1302","New York","2406 Amsterdam Ave","New York","NY","10033","","Ms. Estelle Ford LCSW","eford@startny.org","6462731361","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","Starting Point Clinic OTP","6","New York","119-121 W 124th St","New York","NY","10027","4920","Mrs. LeKeisha Dawkins CASAC","ldawkins@startny.org","9178470971","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"START Treatment & Recovery Centers","47570","937 Fulton St.","Brooklyn","Kings","NY","11238","","Third Horizon Clinic OTP","77","New York","2191 Third Ave","New York","NY","10035","","Alice Wheatley-Street","awheatley-street@startny.org","3474048433","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"T.R.I. Center, Inc.","16350","1369 Broadway","New York","New York","NY","10018","","T.R.I. Center, Inc.  OP R","51959","New York","20 W 37th St","New York","NY","10018","","Mr. Jose Gonzalez","tricenter@msn.com","2122688830","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"T.R.I. Center, Inc.","16350","1369 Broadway","New York","New York","NY","10018","","T.R.I. Center, Inc. OP","6015","New York","20 W 37th St","New York","NY","10018","","Mr. Jose Gonzalez","tricenter@msn.com","2122688830","","Outpatient Services","Outpatient Clinic","2122688830","","Y","","","","","","","","",""
"The Bridge, Inc.","18130","290 Lenox Avenue","New York","New York","NY","10027","","The Center for Wellness and Change OP","7371","New York","248-250 W 108th St","New York","NY","10025","2956","Ms. Jessica O'Neill","joneill@thebridgeny.org","2126633000","1421","Outpatient Services","Outpatient Clinic","2126633000","1301","Y","","","","","","","","",""
"The Educational Alliance, Inc.","70590","197 E Broadway","New York","New York","NY","10002","5507","Pride Site SRR","53069","New York","25-29 Avenue D","New York","NY","10009","","Mr. Luis Corchado","lcorchado@edalliance.org","6463954410","","Residential Services","820 Stabil Rehab Reintegration","6463954363","","Y","","","","","","","","",""
"The Educational Alliance, Inc.","70590","197 E Broadway","New York","New York","NY","10002","5507","Project Contact OP","55","New York","25-29 Avenue D","New York","NY","10009","","Ms. Yashia Paul","ypaul@edalliance.org","6463954368","","Outpatient Services","Outpatient Clinic","6463954363","","Y","","","","","","150 William Street","New York","10038","New York"
"The New York and Presbyterian Hospital","81170","525 E 68th St","New York","New York","NY","10065","","New York & Presbyterian Hospital OMM","52205","New York","503 E 70th St","New York","NY","10021","","Maura Hays","emh2001@nyp.org","2127461252","","Opioid Treatment","Medical Maintenance","","","Y","","","","","","","","",""
"The New York and Presbyterian Hospital","81170","525 E 68th St","New York","New York","NY","10065","","New York & Presbyterian Hospital OTP","331","New York","503 E 70th St","New York","NY","10021","","Maura Hays","emh2001@nyp.org","2127461252","","Opioid Treatment","Opioid Outpatient Treatment","2127461252","","Y","","","","","","","","",""
"Upper Manhattan Mental Health Center","70490","1727 Amsterdam Avenue","New York","New York","NY","10031","","Alcoholism & Sub. Abuse Treatment OP","50962","New York","1727 Amsterdam Ave","New York","NY","10031","4611","Ms. Kristy Rodriguez CASAC","krodriguez@bowencsc.org","9296025828","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Upper Manhattan Mental Health Center","70490","1727 Amsterdam Avenue","New York","New York","NY","10031","","Upper Manhattan MH Center CR","51809","New York","168 E 107th St","New York","NY","10029","3953","Ms. Maritza Senecharles","msenecharles@bowencsc.org","2123484660","103","Residential Services","Community Residential","2123484660","","Y","","","","","","","","",""
"Wellness In Inwood LLC","53410","148 Post Ave","New York","New York","NY","10034","","Wellness In Inwood LLC OP","53824","New York","148 Post Ave","New York","NY","10034","","Elizabeth Urena","elizabethurena12@yahoo.com","9147759545","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"West Midtown Management Group, Inc.","29520","315 W 35th St","New York","New York","NY","10001","","West Midtown Management Group OTP 1","1483","New York","311 W 35th St","New York","NY","10001","","Ms. Rosemary Rodriguez","Rrodriguez@westmidtownmedical.com","2127365900","110","Opioid Treatment","Opioid Outpatient Treatment","2127365900","110","Y","","","","","","","","",""
"West Midtown Management Group, Inc.","29520","315 W 35th St","New York","New York","NY","10001","","West Midtown Management Group, Inc. OP","53844","New York","311 W 35th St.","New York","NY","10001","","Ms. Rosemary Rodriguez","Rrodriguez@westmidtownmedical.com","2127365900","110","Outpatient Services","Outpatient Clinic","","","","","","","","","","","",""
"Wholeview Direct","50840","369 Lexington Ave","New York","New York","NY","10017","6506","Wholeview Direct OP","53321","New York","369 Lexington Ave","New York","NY","10017","6506","Ms. Carly Moskowitz CASAC","Cmoskowitz@wholeview.co","2122048430","","Outpatient Services","Outpatient Clinic","2122048430","","Y","","","","","","","","",""
"Beacon Center","32812","3354 Sheridan Dr","Amherst","Erie","NY","14226","","Beacon Center OP","7330","Niagara","417 3rd St","Niagara Falls","NY","14301","","Mrs. Shannon DeSantiago","sdesantiago@beaconcenter.net","7162824480","147","Outpatient Services","Outpatient Clinic","7162824480","115","Y","","","","","","","","",""
"Beacon Center","32812","3354 Sheridan Dr","Amherst","Erie","NY","14226","","Beacon Center OP 3","51818","Niagara","36 East Ave","Lockport","NY","14094","","Mrs. Shannon DeSantiago","sdesantiago@beaconcenter.net","7162824480","147","Outpatient Services","Outpatient Clinic","7164396815","115","Y","","","","","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Madonna House by Caz Recovery RRh","53076","Niagara","5586 Niagara St Ext","Lockport","NY","14094","","Lisa Johnston CASAC","ljohnston@cazenoviarecovery.org","7164389191","204","Residential Services","820 Residential Rehabilitation","7168524331","204","Y","","","","Y","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Somerset House by Caz Recovery RRi","53571","Niagara","7397 Lake Rd","Appleton","NY","14008","","Ms. Erin DeWolfe LCSW","edewolfe@cazenoviarecovery.org","7167953719","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Cazenovia Recovery Systems, Inc.","38170","2495 Main St","Buffalo","Erie","NY","14214","","Sundram Manor by Caz Recovery RRi","53572","Niagara","431 Memorial Pkwy","Niagara Falls","NY","14303","1407","Ms. Maura Baker CASAC","mbaker@cazenoviarecovery.org","7162846228","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Lockport Recovery Center OP","51804","Niagara","637 Davison Rd","Lockport","NY","14094","","Alix Hutchison","ahutchison@horizon-health.org","7164332484","","Outpatient Services","Outpatient Clinic","7164332484","","Y","","","","","Y","","","",""
"Horizon Health Services, Inc.","11130","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Pine Avenue Recovery Center OP","52194","Niagara","2400 Pine Ave","Niagara Falls","NY","14301","","Nicole Dunbar","ndunbar@horizon-health.org","7165051060","","Outpatient Services","Outpatient Clinic","7165051060","","Y","","","OMH Hosted","","Y","6321 Inducon Drive East","Sanborn","14132","Niagara"
"Horizon Village, Inc","25820","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Aurora Village RRh","53488","Niagara","6298 Inducon Dr E","Sanborn","NY","14132","","Melissa Gazzoli","mgazzoli@horizon-health.org","7162198700","","Residential Services","820 Residential Rehabilitation","7168311800","","Y","","","","","Y","","","",""
"Horizon Village, Inc","25820","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Delta Village RRh","53487","Niagara","6302 Inducon Dr E","Sanborn","NY","14132","","Emily Morrow","emorrow@horizon-health.org","7166389222","","Residential Services","820 Residential Rehabilitation","7168311800","","Y","","","","","Y","","","",""
"Horizon Village, Inc","25820","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Freedom Village RRh","53486","Niagara","6331 Inducon Dr E","Sanborn","NY","14132","","Joe Rivett","jrivett@horizon-health.org","7162501860","","Residential Services","820 Residential Rehabilitation","7168311800","","Y","","","","","Y","","","",""
"Horizon Village, Inc","25820","55 Dodge Rd","Getzville","Erie","NY","14068","1205","Horizon Village, Inc. RRh","53485","Niagara","6301 Inducon Dr E","Sanborn","NY","14132","","Nicholas Gazzoli","ngazzoli@horizon-health.org","7167312030","","Residential Services","820 Residential Rehabilitation","7168311800","","Y","","","","","Y","","","",""
"Mt. St. Mary's Hospital/Niagara Falls","81790","5300 Military Rd","Lewiston","Niagara","NY","14092","1997","Clearview Treatment Services IP","52859","Niagara","5300 Military Rd","Lewiston","NY","14092","","Ms. Jennifer Burdo","jburdo@chsbuffalo.org","7162982127","","Inpatient Treatment Services","Inpatient Rehabilitation","","","","","","","","","","","",""
"Niagara County Dept Mental Health Srvs","70150","5467 Upper Mountain Road","Lockport","Niagara","NY","14094","1895","Niagara Co Dept of MH Services OP","52984","Niagara","1001 11th St","Niagara Falls","NY","14301","1201","Kristi Dierolf","kristi.dierolf@niagaracounty.com","7164397403","","Outpatient Services","Outpatient Clinic","","","Y","","","OMH Hosted","","","5467 Upper Mountain Road","Lockport","14094","Niagara"
"Northpointe Council, Inc.","38020","800 Main St","Niagara Falls","Niagara","NY","14301","1156","First Step Center MSW IP","52971","Niagara","2470 Allen Ave","Niagara Falls","NY","14303","1908","Mr. Marlon Thornton","mthornton@northpointecouncil.org","7162853421","","Crisis Services","Med Sup Withdrawal - Inpatient","","","","","","","","","","","",""
"Northpointe Council, Inc.","38020","800 Main St","Niagara Falls","Niagara","NY","14301","1156","Northpointe Council, Inc. FirstStep RS","53810","Niagara","2470 Allen Ave","Niagara Falls","NY","14303","1908","Mr. Marlon Thornton","mthornton@northpointecouncil.org","7162821228","","Residential Services","820 Residential Stabilization","","","","","","","","","","","",""
"Northpointe Council, Inc.","38020","800 Main St","Niagara Falls","Niagara","NY","14301","1156","Northpointe Council, Inc. OP","50083","Niagara","41 Main St","Lockport","NY","14094","3662","Mr. Richard Pozak","rpozak@northpointecouncil.org","7164333846","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","6395 Old Niagara Road","Lockport","14094","Niagara"
"Northpointe Council, Inc.","38020","800 Main St","Niagara Falls","Niagara","NY","14301","1156","Northpointe Council, Inc. OP 1","51852","Niagara","1001 11th St","Niagara Falls","NY","14301","","Mr. Mbwana Johnson","mjohnson@northpointecouncil.org","7162788110","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Northpointe Council, Inc.","38020","800 Main St","Niagara Falls","Niagara","NY","14301","1156","Northpointe Council, Inc. OTP","53892","Niagara","1001 11th St","Niagara Falls","NY","14301","","Ms. Helena Sikieva","hsikieva@northpointecouncil.org","7162788110","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Recovery Center of Niagara, LLC.","52050","2600 Williams St","Newfane","Niagara","NY","14108","","Recovery Center of Niagara, LLC. IP","53665","Niagara","2600 William St","Newfane","NY","14108","","Ms. Vicky Wideman CASAC","vwideman@niagararecovery.com","7162653700","","Inpatient Treatment Services","Inpatient Rehabilitation","","","Y","","","","","","","","",""
"Recovery Center of Niagara, LLC.","52050","2600 Williams St","Newfane","Niagara","NY","14108","","Recovery Cnter of Niagara, LLC. MSW-IP","53758","Niagara","2600 William St","Newfane","NY","14108","","Ms. Vicky Wideman CASAC","vwideman@niagararecovery.com","7162653700","","Crisis Services","Med Sup Withdrawal - Inpatient","","","Y","","","","","","","","",""
"Save the Michaels of the World, Inc.","49750","27 Norwalk Ave","Buffalo","Erie","NY","14216","","Newfane House of Hope RRi","53806","Niagara","2600 William St","Newfane","NY","14108","1026","Tabitha Vaughan","t.vaughan@savethemichaels.org","7169848375","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Beacon Center","32812","3354 Sheridan Dr","Amherst","Erie","NY","14226","","Beacon Center OP 5","52584","Oneida","1508 Genesee St","Utica","NY","13502","5178","Mrs. Admira Spahic","aspahic@beaconcenter.net","3153664100","153","Outpatient Services","Outpatient Clinic","3153664100","115","Y","","","","","","303 West Liberty Street","Rome","13440","Oneida"
"Beacon Center","32812","3354 Sheridan Dr","Amherst","Erie","NY","14226","","Beacon Center OTP","53021","Oneida","303 W Liberty St","Rome","NY","13440","","Mrs. Admira Spahic","aspahic@beaconcenter.net","3153664100","153","Opioid Treatment","Opioid Outpatient Treatment","3153671290","153","Y","","","","","","","","",""
"Beacon Center","32812","3354 Sheridan Dr","Amherst","Erie","NY","14226","","Beacon Center OTP1","53501","Oneida","1508 Genesee St","Utica","NY","13502","5178","Mrs. Admira Spahic","aspahic@beaconcenter.net","3153664100","153","Opioid Treatment","Opioid Outpatient Treatment","7168311937","115","Y","","","","","","","","",""
"Catholic Charities of Utica/Rome","20560","1408 Genesee St","Utica","Oneida","NY","13502","","Catholic Charities of Utica/Rome CR","50681","Oneida","1505 Whitesboro  St","Utica","NY","13502","3825","Mrs. Renee Coppins","rcoppins@ccharityom.org","3157388483","","Residential Services","Community Residential","","","","","","","","","","","",""
"Catholic Charities of Utica/Rome","20560","1408 Genesee St","Utica","Oneida","NY","13502","","Catholic Charities of Utica/Rome CR 1","51784","Oneida","1616 Genesee St","Utica","NY","13502","5426","Mrs. Renee Coppins","rcoppins@ccharityom.org","3157921007","","Residential Services","Community Residential","","","","","","","","","","","",""
"Helio Health, Inc.","36090","555 E Genesee St","Syracuse","Onondaga","NY","13202","2118","Helio Health, Inc. OP 2","53523","Oneida","500 Whitesboro St","Utica","NY","13502","","Dana Collier","dcollier@helio.health","3157245168","","Outpatient Services","Outpatient Clinic","3157245168","","Y","","Y","Mental Health","","","","","",""
"Helio Health, Inc.","36090","555 E Genesee St","Syracuse","Onondaga","NY","13202","2118","Helio Health, Inc. OTP1","53296","Oneida","1213 Court St","Utica","NY","13502","","Kevin Howard","khoward@Helio.Health","3154711564","3138","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Helio Health, Inc.","36090","555 E Genesee St","Syracuse","Onondaga","NY","13202","2118","Helio Health, Inc. SRh","53528","Oneida","500 Whitesboro St","Utica","NY","13502","3015","Alicia Burke LMSW","aburke@helio.health","3157245168","","Residential Services","820 Stabil and Rehab","3157245168","","Y","","","","","","","","",""
